	GENE_ID	Gene_Name	Synonyms	Gene_products	UniProt_ID	2vs0	4vs0	6vs0	8vs0	10vs0	2vs0	4vs0	8vs0	10vs0	res$padj[match(rownames(both_de), rownames(res))]	tt_dev$adj.P.Val[match(rownames(both_de), rownames(tt_dev))]
Q54H99	DDB_G0289605	fmoC	NA	flavin-containing monooxygenase, dimethylaniline monooxygenase [N-oxide-forming]	Q54H99	-0.0608990731032507	1.96646780966115	4.05678518670273	6.78148424174789	7.04316338022228	-0.0264386531551629	-0.0260358338786633	-0.24580408761843	-0.730417993951429	6.94957284991388e-55	0.00450922997258858
Q75JG1	DDB_G0276125	DDB_G0276125	NA	NA	Q75JG1	-0.628039582094148	2.02078381328629	2.13484097834623	4.82207877428969	7.22109906577686	0.167540614496939	0.176596485042839	-0.20958263137196	2.30772943577844	4.6653090329103e-61	0.00899591567890037
Q54T55	DDB_G0281993	DDB_G0281993	NA	NA	Q54T55	0.167628260141032	0.0667312985860017	2.56128341699121	6.77453819959288	6.9994532324575	0.0712209354522383	0.358136205228004	0.890911962796637	2.1278931123929	1.87590484793755e-172	0.00981378249570893
Q552D2	DDB_G0276215	DDB_G0276215	NA	glycoside hydrolase family 15 protein	Q552D2	0.971341853713012	1.56479328300433	3.24911436732068	6.15354055840051	8.03025383564959	-0.221036261909304	-0.00304437294867044	-0.499785301736838	1.42101069438886	2.14164341888176e-93	0.00770011361231124
Q558S7	DDB_G0273017	DDB_G0273017	NA	isocitrate lyase	Q558S7	-0.519180552676492	-0.375660332645049	1.21644195358414	4.88037378926203	6.5670202376486	0.398401318634897	-0.0621551408176702	0.894780870545662	3.54579108757233	1.96105856571896e-268	0.00269844929067539
Q54J14	DDB_G0288377	gxcH	RacGEF	pleckstrin homology (PH) domain-containing protein, RhoGEF domain-containing protein	Q54J14	-0.159668766092137	0.511477496886036	1.96628858525742	4.78315624593804	4.93208147137754	0.21619460493217	-0.0818359525448631	0.0583157967377029	1.48452930270217	1.56494509327659e-47	0.00827961995393
Q54PS9	DDB_G0284353	osbI	NA	oxysterol binding family protein, member 9	Q54PS9	-0.649116952229783	1.17680517609294	2.08018978164568	3.6371865011063	4.1506327279053	-0.247156059244832	-0.233017775144264	0.973092019289269	2.21789457872437	5.71832320779156e-41	0.00464116346660014
Q54SZ9	DDB_G0282107	DDB_G0282107	NA	putative phospholipid transfer protein	Q54SZ9	0.603043096151456	1.43557374783101	4.03921065325453	6.96956788198367	6.16350524977197	-0.217270514997502	-0.129300346136802	1.91899693247626	4.1774819588001	1.27043180692916e-95	0.00687262832675191
Q55C57	DDB_G0270218	glkA	glycogen synthase kinase-like kinase A	putative serine/threonine-protein kinase GlkA	Q55C57	-0.528876257080896	0.631414449322738	4.83335178272351	6.34017381772932	6.16071790070416	0.1643777753552	0.136397916377934	2.40708796140587	3.03361665395647	3.51262011994022e-58	9.38825067097201e-05
Q54GT4	DDB_G0289925	fmoG	FMO	flavin-containing monooxygenase, N,N-dimethylaniline,NADPH:oxygen oxidoreductase, N-oxide-forming	Q54GT4	0.964904208607262	2.15108726228395	3.82582920378075	4.83201083572162	4.61894603625314	-0.206661847731464	-0.605947009857596	0.82099568487617	1.6037871435528	6.96550042586831e-52	0.00994996977097029
Q54KF1	DDB_G0287295	forC	NA	formin C	Q54KF1	0.278807528754983	2.28618840868273	3.67821317005737	4.35580218551606	4.61368135146826	-0.604937995074232	-0.303654366546731	-0.00800935284599806	1.8884070557958	7.18926051112338e-42	0.00385853731206154
Q54NR2	DDB_G0285023	alrF	NA	aldo-keto reductase	Q54NR2	-0.936015363991055	1.46245262421931	3.54886789159446	4.89061764480956	4.50394085123253	-0.247788061474129	-0.773647100941163	1.1571195994556	2.19605617912707	1.02703608533431e-58	0.000138350075714597
Q54M75	DDB_G0286141	DDB_G0286141	NA	NA	Q54M75	-0.11782674280386	1.62921299698781	2.84488174941947	5.17842014752648	4.74669613510513	0.240047342357571	0.462419163203237	1.858895148853	2.4843730791827	1.0672390941751e-80	8.88128876645416e-05
Q54HC6	DDB_G0289555	arkA	ARCK-1	ankyrin repeat-containing protein, PKC domain-containing protein, PE/DAG binding, GRAM domain-containing protein, protein kinase, TKL group, tyrosine kinase-like protein, ARK family protein kinase	Q54HC6	0.0868255209946803	1.97347343670069	3.96275392621135	5.29801820972678	5.43854009432146	-0.129947593585227	0.0588438301266398	1.81794633013941	2.47311717688364	2.72851359985668e-38	0.000336324187617555
Q75JW4	DDB_G0272180	DDB_G0272180	NA	NA	Q75JW4	-0.2109439966395	1.56098204710288	3.6019065892071	5.37935421330489	5.02460620798297	-0.191698431478002	-0.111127706686736	2.39312439212966	3.24488328314603	1.67422436289466e-76	9.93717127211134e-06
Q54ZF4	DDB_G0277595	DDB_G0277595	NA	unknown	Q54ZF4	0.577166168180684	1.67836484040259	1.7325174468319	3.58273664770547	3.12521240187448	-0.138920743158529	0.257569508720604	2.39429336345167	2.09351281728434	2.03176671858697e-15	0.000282177773594367
Q65YR7	DDB_G0280439	cpiB	NA	cystatin A2, cysteine protease inhibitor	Q65YR7	1.4801323715657	1.74506465194673	1.69542912806329	3.50158052412179	3.14838281452645	0.546935938932132	0.491199820825699	2.63186119340617	2.61699620060133	6.25886189460267e-25	7.89134008977881e-05
Q54KB3	DDB_G0287491	DDB_G0287491	NA	paramecium surface antigen repeat-containing protein	Q54KB3	-0.373351778921469	1.63504125542588	2.05979574907809	3.266913432444	2.64893477164072	0.242260066805039	0.834385173051906	3.06330557080271	3.66565247088901	2.25632518709212e-33	0.00169035324175798
Q54PS7	DDB_G0284449	plbD	PLB	phospholipase B-like protein	Q54PS7	0.419096759385263	1.84934777900242	3.27985480650431	3.37097402921783	2.59949747195377	-0.530278815432296	-0.143146167289628	2.65480377543444	2.8541780475394	1.11265653879853e-21	0.000503142102986115
Q8IS20	DDB_G0282381	gefC	RasGEF, racGEF	regulator of chromosome condensation (RCC1) domain-containing protein, RhoGEF domain-containing protein, Ras nucleotide exchange factor	Q8IS20	1.10450221540203	1.04707520229631	2.70640206487952	3.70247394162845	3.62032297218524	-0.038727724177733	0.0634539227883986	2.70209253140873	3.40078664907097	1.85655292180184e-29	2.66414605707802e-07
Q54UF5	DDB_G0281105	DDB_G0281105	NA	NA	Q54UF5	1.28396111989495	2.97574742243864	2.67903574752924	3.19323119381254	2.12600764904622	-0.168312481202232	-0.0409447938918318	1.97885602435767	2.33616016465847	1.11271751931003e-15	0.000155897708543721
P05987	DDB_G0279413	pkaR	PKA, rdeC, cAK	cAMP-dependent protein kinase A, regulatory subunit	P05987	1.33751828003891	2.52140323616111	3.00718402464743	3.08060377887643	3.3590276245017	0.0997779855278718	0.765973742056338	2.21741540873457	2.44133896816244	1.26907912440814e-21	2.99190592482174e-05
Q555E4	DDB_G0274661	DDB_G0274661	NA	unknown	Q555E4	0.853298850839724	2.28081783216271	2.534311042591	2.85544716028195	2.81284724783488	0.209433704729878	0.678930048020145	1.65611883627508	2.12472048188551	4.90722594044001e-17	3.08635135229068e-05
Q54BL7	DDB_G0293708	DDB_G0293708	NA	LIM-type zinc finger-containing protein	Q54BL7	2.67758445200441	1.80535905359977	3.50057043017912	4.42206138329045	3.14792213186844	0.640113134143142	0.934532316079143	1.95040712046307	2.03615730953267	3.81618315161401e-40	4.23162062820809e-05
Q54M73	DDB_G0286143	DDB_G0286143	NA	dullard-like phosphatase domain containing protein	Q54M73	1.81437666152156	2.12976366192247	3.23239726731247	3.77275737114496	2.18985922472003	-0.0184173656505937	0.606680222398939	3.37186813949171	2.47123754326554	5.457940165858e-23	0.000713496965222899
Q54MH2	DDB_G0285939	ctnnA	vinA, Dd-alpha-catenin	alpha-catenin related protein	Q54MH2	2.35365755565771	-0.337634497535422	0.330940970272364	3.48634101870677	3.62271505449101	2.03348001047224	2.3019872028521	5.6297777274235	6.2288046374749	5.75080741998539e-14	1.52272096545983e-07
P54682	DDB_G0284613	D7	NA	NA	P54682	-2.08984156541729	0.156754638532256	1.45991850075586	2.56851294366325	5.36445890730065	-0.0438929832547927	1.23920598159687	3.50166450847167	5.66617469184847	7.85718442357482e-51	0.000503117086441877
Q54VG7	DDB_G0280051	DDB_G0280051	NA	unknown	Q54VG7	0.328930750487287	0.250469386850095	1.09787396719908	3.89210590578454	4.69758961892125	-0.595870927614068	-0.195506514456836	3.20762553494493	4.55957971338133	1.55760817655259e-42	1.8022969027498e-06
Q556K5	DDB_G0273989	DDB_G0273989	NA	unknown	Q556K5	0.336099468225765	1.05562115913209	2.35877356471015	5.39873905384766	5.49887803487754	0.143279354336477	0.14767276545371	4.64491468484494	5.60527046225125	6.5526489739363e-70	4.4959659682386e-08
Q54H57	DDB_G0289693	DDB_G0289693	NA	unknown	Q54H57	1.75378263225238	4.16405213002389	3.25056381952347	4.95935630001341	7.08010280565665	-0.0671883846966276	2.63537454571764	3.64640207734671	5.62766688826781	3.47716561256348e-55	0.000110568637002901
P03967	DDB_G0292996	rasD	ras, Dd-ras, Ddras, rasA, 12E2	Ras GTPase RasD	P03967	0.628607200770427	3.46222555041232	2.45219871498101	4.66822152928273	4.55153405656489	0.128997267754736	1.3376539458768	4.2661936098733	5.27573157501127	1.46368734576055e-42	0.000214812417259057
Q5R1U3	DDB_G0277001	cpiC	NA	cystatin A3, putative cysteine protease inhibitor	Q5R1U3	2.37039506747393	3.09736597875091	3.14072848479834	6.21672455063569	5.78151109823369	0.851272666830565	0.999302689608596	3.5869012019335	4.35843134942816	6.67772597189201e-66	0.000556422371973364
Q54DX0	DDB_G0291938	DDB_G0291938	NA	NA	Q54DX0	0.983840098289596	2.85902573654913	4.27391191779175	4.97156418069612	4.56792649138929	0.264064114673233	0.170772423904833	2.7333515669715	3.57853471780973	9.77372477407578e-63	1.4225662505868e-05
Q54F06	DDB_G0291181	DDB_G0291181	NA	NA	Q54F06	1.05637100961438	2.90277153823168	3.79291694348918	4.32390371335521	3.8631077279329	-0.053484346928098	0.425298302917369	2.68534984751777	3.02411385178377	8.9211195265508e-45	2.43088160622931e-06
Q54FY5	DDB_G0290531	DDB_G0290531	NA	NA	Q54FY5	1.29634742618328	2.02824880586409	1.71021146848236	4.3413729064053	5.01213460947102	-0.154118241397563	-0.0266013414598949	2.29697386126654	3.768541989122	7.51279209420717e-61	3.28111735892994e-05
Q8T2U1	DDB_G0275253	DDB_G0275253	NA	unknown	Q8T2U1	0.648422070554637	2.13708215430505	2.63113799492905	3.90995657332875	5.13922511285122	-0.0631771468201905	0.0443133414076766	2.83413634977548	3.71246903207351	1.67997237572633e-20	1.8022969027498e-06
Q551J8	DDB_G0276563	DDB_G0276563	NA	Four and a half LIM domains protein 1	Q551J8	3.93807163776942	1.75673481259643	2.96920243396393	5.13123281647207	4.49972753833376	0.173367732141138	-1.22612979398316	2.36526784960331	2.74998830404457	4.27856018108053e-46	0.00164853700060031
P16642	DDB_G0272833	csbA	NA	contact site B protein A	P16642	2.76433602292349	1.90644609238122	2.7661033767946	4.70559636016576	4.64952145806167	1.52788003461944	0.617466622730135	2.99445862127404	3.41548539742247	4.60451999708313e-30	0.00375568450638582
Q54NJ3	DDB_G0285215	DDB_G0285215	NA	unknown	Q54NJ3	3.39049906272638	2.75798876661322	2.37516187090777	4.05681515080597	4.37958547135179	0.990114197269777	1.80038922222734	3.23370173244721	3.72760027395854	8.54732027607713e-17	0.000483835076511111
P08796	DDB_G0289073	csaA	csA, gp80	contact site A protein	P08796	5.57840402296506	6.43256557049725	6.70091432144932	7.46636773489965	6.24736083209883	3.90867439261926	5.35966956525446	7.26545959978976	6.96191942408526	2.1793694899676e-28	1.27008170260432e-08
C7G077	DDB_G0295799	DDB_G0295799	NA	unknown	C7G077	11.2243827275853	7.3999201440284	8.70241458984604	8.29680749234995	7.35875340631915	6.4236235601683	6.4792540483335	6.7970730930109	6.47817125504627	1.14061398033093e-143	1.02283701411877e-08
C7G078	DDB_G0295801	DDB_G0295801	NA	B_lectin domain-containing protein	C7G078	10.2505885289304	6.70996309646049	7.60402511709793	7.6113137997143	6.81278153824323	5.94012836220092	6.02500759198607	6.29191667157575	6.12138934855295	2.31810842704945e-131	1.02283701411877e-08
P13773	DDB_G0273533	carA-2	carA, carA2, cAR1, G-protein-coupled receptor	cAMP receptor 1	P13773	2.33863796546957	3.26889665392105	4.07666392429792	3.0414244465666	2.47493386289793	3.25349170909067	4.25161339825587	5.24610080519997	4.36158317839034	7.63443714832968e-22	4.42207551454485e-06
Q54G71	DDB_G0290371	DDB_G0290371	NA	transmembrane protein	Q54G71	4.07234357005063	3.20377984920051	4.09229664008525	2.51059332941829	0.554176464049794	2.52092138649234	3.88859594118224	4.51793772884361	3.31982210124904	3.21432813382353e-39	6.64951817764988e-07
Q54C11	DDB_G0293202	trafH	DdTRAFh	TNF receptor-associated factor H	Q54C11	5.23409679450409	4.61992728621242	3.42583905155854	3.02217877759451	2.65098317270191	3.45126155054974	4.49507535994523	3.63581406803324	3.59224972319414	2.56789123590612e-32	5.42392907768043e-08
Q54EB9	DDB_G0291646	DDB_G0291646	NA	unknown	Q54EB9	4.85310249667104	4.80809784982386	3.46899296899339	4.45097045036383	4.11415218034847	4.27932735051357	5.50593816903897	4.84289434054507	5.0525742059998	1.2310287764312e-25	5.42392907768043e-08
Q54R85	DDB_G0283317	tgrI2	NA	IPT/TIG domain-containing protein, immunoglobulin E-set domain-containing protein	Q54R85	2.306020303471	3.23537048004639	6.35517462676331	6.76680198437855	5.20018720749469	-0.286422242209631	0.0805336925470369	3.08294342590957	2.90103649791497	1.78079419316884e-32	7.02651589790996e-06
P54653	DDB_G0267456	cbp2	NA	calcium-binding protein 2	P54653	2.19482966789521	4.10724570525097	4.80126586935632	5.41109363397756	4.81870139778102	0.0801075959291074	0.628105918831806	2.17410197403684	2.45139519221184	2.09175972002634e-48	1.8022969027498e-06
Q1ZXH5	DDB_G0279681	DDB_G0279681	NA	calcium-binding EF-hand domain-containing protein	Q1ZXH5	1.9410359028249	4.01411793154597	4.90851807088888	5.311095218351	4.22788701535199	0.0866597864119347	0.605073832050767	2.40378569201717	2.4702485275191	4.47674133181189e-47	7.5556173953318e-06
Q86L18	DDB_G0276969	D2B	putative carboxylesterase	type-B carboxylesterase/lipase family protein D2B	Q86L18	2.50296301819539	4.36988166788954	4.51701348683195	3.69770313894352	1.59066282051219	0.146196814057072	1.19749685860017	3.07727314852444	3.15133776375594	3.27675037489112e-25	3.27445133561424e-06
Q54JR7	DDB_G0287833	DDB_G0287833	NA	NA	Q54JR7	3.54256994636599	5.36970503868924	5.25715569150309	4.00199937141115	3.47786982903318	0.13529553544726	2.01267714613689	3.84275093942859	3.31542197664153	4.28957977834924e-31	4.16783612148669e-05
Q54XL5	DDB_G0278865	DDB_G0278865	NA	NA	Q54XL5	2.52136031863646	4.39700419274798	4.4132407499083	4.7215970539823	3.38167242248632	0.298851685816672	3.14018745658827	3.64341740743311	3.30576523438641	3.11838434102052e-16	0.000263821532344357
Q54R93	DDB_G0283305	DDB_G0283305	NA	ERV/ALR sulphydryl oxidase domain-containing protein	Q54R93	0.937992292996402	3.58181857393366	5.85229727377458	5.07559041722431	2.98619619214084	-0.00522100959813832	0.422699265939329	5.048507113993	5.22913362466986	3.62761855876133e-29	8.03222410261613e-08
Q55E15	DDB_G0270518	DDB_G0270518	NA	unknown	Q55E15	2.42177315988534	5.42979741366021	6.87412117000651	5.30821268867815	2.26896835797634	-0.200756903228496	2.0940562992914	5.16230633981087	4.98311852572457	1.08382944075163e-39	5.90547646769503e-08
Q7KWW7	DDB_G0276793	DDB_G0276793	NA	NA	Q7KWW7	2.09071323899934	0.974600720955906	3.13068841364419	9.81318773093366	10.9294085901874	-0.416998208066935	-0.427109047987769	-0.0337382715530351	1.57546902297757	1.50237817534633e-142	0.00816152625874816
Q54QX2	DDB_G0283555	DDB_G0283555	NA	putative spore coat protein	Q54QX2	1.81771323177856	2.34825805454521	1.94007061931853	9.73134567779467	12.4618787037458	-0.179313295103094	-0.0367740056604596	0.111496999433473	3.95147729936171	2.61606038500611e-148	0.000606633239038986
P15269	DDB_G0276761	cotB	SP70, 2H3, 2B1	spore coat protein SP70	P15269	0.564825579940624	1.41625761844072	3.56506007159293	8.92362974632041	12.2547759340354	0.109750576712802	-0.070507087216465	0.331481274111269	4.6138305953251	1.22647120974466e-210	0.000692031288571205
